"통계분류(1)",2017,2017,2017,2017,2017,2017
"통계분류(1)",항목,항목,항목,항목,항목,항목
"통계분류(1)",여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율
"통계분류(1)",평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균
"전체",197.9,321.8,23.4,27.1,11.8,8.4
